R;N;ln(N)/ln(R)
738;2044311093;3,25
739;2052626581;3,25
740;2060971101;3,25
741;2069335897;3,25
742;2077721605;3,25
743;2086130051;3,25
744;2094557569;3,25
745;2103018585;3,25
746;2111491915;3,25
747;2119992515;3,25
748;2128515687;3,25
749;2137062439;3,25
750;2145633991;3,25
751;2154217017;3,24
752;2162832235;3,24
753;2171473883;3,24
754;2180132271;3,24
755;2188818397;3,24
756;2197519919;3,24
757;2206250711;3,24
758;2214995725;3,24
759;2223780487;3,24
760;2232575897;3,24
761;2241398211;3,24
762;2250243637;3,24
763;2259111951;3,24
764;2268004493;3,24
765;2276917453;3,24
766;2285857313;3,24
767;2294819043;3,24
768;2303799859;3,24
769;2312804419;3,24
770;2321841131;3,24
771;2330893691;3,24
772;2339979069;3,24
773;2349075979;3,24
774;2358205049;3,24
775;2367350745;3,24
776;2376526461;3,24
777;2385727299;3,24
778;2394942493;3,24
779;2404185577;3,24
780;2413451115;3,24
781;2422750289;3,24
782;2432059301;3,24
783;2441401623;3,24
784;2450761455;3,24
785;2460150709;3,24
786;2469559653;3,24
787;2478995711;3,24
788;2488453053;3,24
789;2497937341;3,24
790;2507447925;3,24
791;2516977229;3,24
792;2526524261;3,24
793;2536112897;3,24
794;2545714313;3,24
795;2555343981;3,24
796;2564993037;3,24
797;2574670967;3,24
798;2584375829;3,24
799;2594095445;3,24
800;2603846353;3,24
801;2613617151;3,24
802;2623416597;3,24
803;2633242161;3,24
804;2643082961;3,24
805;2652962585;3,24
806;2662856449;3,24
807;2672777609;3,24
808;2682720155;3,24
809;2692689569;3,24
810;2702688009;3,24
811;2712700759;3,24
812;2722752567;3,24
813;2732818085;3,24
814;2742908635;3,24
815;2753027875;3,24
816;2763169221;3,24
817;2773342411;3,24
818;2783535429;3,24
819;2793754221;3,24
820;2803995425;3,24
821;2814268571;3,24
822;2824562355;3,24
823;2834874145;3,24
824;2845219423;3,24
825;2855591063;3,24
826;2865978159;3,24
827;2876402587;3,24
828;2886837309;3,24
829;2897311425;3,24
830;2907806025;3,24
831;2918329439;3,24
832;2928866447;3,24
833;2939444315;3,24
834;2950038849;3,24
835;2960663505;3,24
836;2971308345;3,24
837;2981976505;3,24
838;2992673283;3,24
839;3003401765;3,24
840;3014143039;3,24
841;3024919961;3,24
842;3035724561;3,24
843;3046548939;3,24
844;3057402399;3,24
845;3068280359;3,24
846;3079182547;3,24
847;3090112425;3,24
848;3101067741;3,24
849;3112043991;3,24
850;3123049691;3,24
851;3134086453;3,24
852;3145142979;3,24
853;3156231465;3,24
854;3167343069;3,24
855;3178478355;3,24
856;3189641443;3,24
857;3200823131;3,24
858;3212042245;3,24
859;3223280261;3,24
860;3234547863;3,24
861;3245846717;3,24
