Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 290    4.5575E-008    1.2426E-007   113    36
 291    4.1017E-008    5.3348E-008   119    32
 292    3.6916E-008    1.6752E-008   108    32
 293    3.3224E-008    3.8253E-009   112    33
 294    2.9902E-008    6.8698E-009   109    36
 295    2.6911E-008    2.5077E-008   114    41
 296    2.4220E-008    2.5627E-008   110    33
 297    2.1798E-008    4.1111E-008   110    37
 298    1.9618E-008    2.9787E-008   109    35
 299    1.7657E-008    7.4214E-009   110    31
 300    1.5891E-008    5.3082E-009   113    33
 301    1.4302E-008    9.5688E-009   109    35
 302    1.2872E-008    7.1806E-010   114    39
 303    1.1584E-008    4.6427E-009   110    32
 304    1.0426E-008    8.8636E-010   109    34
 305    9.3834E-009    2.5536E-009   111    32
 306    8.4451E-009    1.9636E-009   114    37
 307    7.6006E-009    4.8919E-009   111    44
 308    6.8405E-009    1.8845E-008   116    42
 309    6.1565E-009    4.0355E-009   111    35
 310    5.5408E-009    1.0709E-009   115    37
 311    4.9867E-009    9.0320E-010   114    41
 312    4.4881E-009    5.2154E-009   113    36
 313    4.0393E-009    9.3570E-010   117    32
 314    3.6353E-009    2.2359E-009   110    31
 315    3.2718E-009    3.8736E-009   110    43
 316    2.9446E-009    8.2127E-009   119    43
 317    2.6502E-009    5.6214E-009   111    39
 318    2.3851E-009    1.9427E-010   117    32
 319    2.1466E-009    7.9281E-011   114    38
 320    1.9320E-009    5.6321E-010   111    36
 321    1.7388E-009    1.3422E-010   116    34
 322    1.5649E-009    4.1101E-010   112    40
 323    1.4084E-009    2.9588E-010   114    43
 324    1.2676E-009    2.7091E-009   110    36
 325    1.1408E-009    1.3479E-009   120    35
 326    1.0267E-009    4.2279E-010   113    37
 327    9.2405E-010    2.8217E-010   108    41
 328    8.3165E-010    1.6130E-009   110    32
 329    7.4848E-010    1.3100E-011   113    38
 330    6.7363E-010    8.0745E-010   112    33
 331    6.0627E-010    1.8356E-010   109    32
 332    5.4564E-010    8.9155E-010   112    44
 333    4.9108E-010    8.8324E-010   116    45
 334    4.4197E-010    6.5240E-011   115    33
 335    3.9777E-010    8.4233E-011   110    33
 336    3.5800E-010    1.1889E-010   114    37
 337    3.2220E-010    7.9271E-011   112    36
 338    2.8998E-010    4.7261E-010   113    39
